"ParticipantNum","density","NumAgents","FollowPercentage"
141,"LowDensity",4,57.6923076923077
142,"LowDensity",4,56
143,"LowDensity",4,48
144,"LowDensity",4,55.5555555555556
145,"LowDensity",4,33.3333333333333
146,"LowDensity",4,40
147,"LowDensity",4,100
148,"LowDensity",4,68.1818181818182
149,"LowDensity",4,53.125
150,"LowDensity",4,52.7777777777778
151,"LowDensity",4,32.258064516129
152,"LowDensity",4,45.1612903225806
153,"LowDensity",4,76.3157894736842
154,"LowDensity",4,45.4545454545455
1,"HighDensity",1,60
2,"HighDensity",1,38.4615384615385
3,"HighDensity",1,89.2857142857143
4,"HighDensity",1,72.2222222222222
5,"HighDensity",1,50
6,"HighDensity",1,53.125
7,"HighDensity",1,70.9677419354839
8,"HighDensity",1,54.5454545454545
9,"HighDensity",1,40
10,"HighDensity",1,50
11,"HighDensity",1,90
12,"HighDensity",1,45.4545454545455
13,"HighDensity",1,45
14,"HighDensity",1,63.8888888888889
15,"HighDensity",1,83.8709677419355
16,"HighDensity",1,50
17,"HighDensity",1,51.1627906976744
18,"HighDensity",1,53.8461538461538
19,"HighDensity",1,50
20,"HighDensity",1,53.5714285714286
21,"HighDensity",1,48.2758620689655
22,"HighDensity",1,51.7241379310345
23,"HighDensity",1,63.8888888888889
24,"HighDensity",1,45
25,"HighDensity",1,64.1025641025641
26,"HighDensity",1,27.027027027027
27,"HighDensity",1,89.2857142857143
28,"HighDensity",1,62.962962962963
29,"HighDensity",1,54.2857142857143
30,"HighDensity",1,56.25
31,"HighDensity",1,65.2173913043478
32,"HighDensity",1,55.2631578947368
33,"HighDensity",1,56.7567567567568
34,"HighDensity",1,60.5263157894737
35,"HighDensity",1,38.8888888888889
36,"HighDensity",1,44
37,"HighDensity",1,46.4285714285714
38,"HighDensity",1,48.4848484848485
39,"HighDensity",1,57.1428571428571
40,"HighDensity",1,40
41,"HighDensity",1,50
42,"HighDensity",1,69.2307692307692
43,"HighDensity",1,64.8648648648649
44,"HighDensity",1,39.2857142857143
