"ParticipantNum","density","NumAgents","RT"
121,"LowDensity",3,0.796269956521739
122,"LowDensity",3,1.40771663888889
123,"LowDensity",3,1.63968787096774
124,"LowDensity",3,1.59571048
125,"LowDensity",3,1.31930541935484
126,"LowDensity",3,1.72093607407407
127,"LowDensity",3,0.914247851851852
128,"LowDensity",3,1.25251679411765
129,"LowDensity",3,1.144985
130,"LowDensity",3,1.09988596875
131,"LowDensity",3,1.07358670967742
132,"LowDensity",3,1.66385655555556
133,"LowDensity",3,0.970643103448276
134,"LowDensity",3,1.50999445
135,"LowDensity",3,0.844004333333333
136,"LowDensity",3,1.24259226086957
137,"LowDensity",3,0.797398055555556
138,"LowDensity",3,1.17015846875
139,"LowDensity",3,0.9486054
140,"LowDensity",3,1.67431452941176
141,"LowDensity",3,0.811952545454545
142,"LowDensity",3,1.59006009090909
143,"LowDensity",3,0.929605157894737
144,"LowDensity",3,1.29531936585366
145,"LowDensity",3,1.19388144827586
146,"LowDensity",3,0.8232184
147,"LowDensity",3,1.53855535714286
148,"LowDensity",3,0.846264157894737
149,"LowDensity",3,1.17507051612903
150,"LowDensity",3,0.862096121212121
151,"LowDensity",3,0.735146416666667
152,"LowDensity",3,1.07329821621622
153,"LowDensity",3,1.21174839285714
154,"LowDensity",3,1.21708724242424
1,"LowDensity",4,1.24355888235294
2,"LowDensity",4,1.19738239130435
3,"LowDensity",4,1.1855185
4,"LowDensity",4,1.29325675
5,"LowDensity",4,0.796913939393939
6,"LowDensity",4,1.23177525
7,"LowDensity",4,1.11754669230769
8,"LowDensity",4,1.13861280645161
9,"LowDensity",4,1.44756720588235
10,"LowDensity",4,1.36527703448276
11,"LowDensity",4,1.35357885714286
12,"LowDensity",4,1.56299225806452
13,"LowDensity",4,1.12941191428571
14,"LowDensity",4,0.79810153125
15,"LowDensity",4,1.1918914
16,"LowDensity",4,0.789566071428571
17,"LowDensity",4,0.900116931034483
18,"LowDensity",4,1.04725906451613
19,"LowDensity",4,1.1871216
20,"LowDensity",4,1.473734
21,"LowDensity",4,0.9233655
22,"LowDensity",4,1.01665072222222
23,"LowDensity",4,1.38842042424242
24,"LowDensity",4,0.882139272727273
25,"LowDensity",4,1.50254187096774
26,"LowDensity",4,1.47292211538462
27,"LowDensity",4,1.7514476
28,"LowDensity",4,1.33262407142857
29,"LowDensity",4,1.03047805882353
30,"LowDensity",4,0.686623133333333
31,"LowDensity",4,1.56289585714286
32,"LowDensity",4,1.47461803571429
33,"LowDensity",4,1.80834960606061
34,"LowDensity",4,0.69819576
35,"LowDensity",4,1.563377625
36,"LowDensity",4,1.76510861538462
37,"LowDensity",4,1.67935023076923
38,"LowDensity",4,0.729596259259259
39,"LowDensity",4,0.936072730769231
40,"LowDensity",4,1.69465126666667
41,"LowDensity",4,1.21545408823529
42,"LowDensity",4,1.308418875
43,"LowDensity",4,1.21469812903226
44,"LowDensity",4,0.96737819047619
45,"LowDensity",4,0.82328852
46,"LowDensity",4,0.715092625
47,"LowDensity",4,1.16760254054054
48,"LowDensity",4,0.974401833333333
49,"LowDensity",4,1.29860911764706
50,"LowDensity",4,2.12562342857143
51,"LowDensity",4,0.8369193125
52,"LowDensity",4,1.33118233333333
53,"LowDensity",4,1.70118417142857
54,"LowDensity",4,1.02451371052632
55,"LowDensity",4,0.869965432432432
56,"LowDensity",4,1.02215803703704
57,"LowDensity",4,2.13650517647059
58,"LowDensity",4,1.62997326923077
59,"LowDensity",4,0.92348164516129
60,"LowDensity",4,1.11670237931034
61,"LowDensity",4,0.669246071428571
62,"LowDensity",4,1.20123487096774
63,"LowDensity",4,0.921546193548387
64,"LowDensity",4,1.029065
65,"LowDensity",4,1.5934571
66,"LowDensity",4,1.29358846153846
67,"LowDensity",4,0.758574675675676
68,"LowDensity",4,1.09406591176471
69,"LowDensity",4,1.8164945
70,"LowDensity",4,0.967286842105263
71,"LowDensity",4,1.12257605714286
72,"LowDensity",4,1.42860628571429
73,"LowDensity",4,1.02708922857143
74,"LowDensity",4,0.801317657894737
75,"LowDensity",4,0.792810358974359
76,"LowDensity",4,1.17258366666667
77,"LowDensity",4,1.38271857575758
78,"LowDensity",4,1.00600586666667
79,"LowDensity",4,1.01639534482759
80,"LowDensity",4,1.0577183902439
81,"LowDensity",4,1.146663625
82,"LowDensity",4,0.942555225
83,"LowDensity",4,1.30384995744681
84,"LowDensity",4,1.48370534285714
85,"LowDensity",4,0.925977717948718
86,"LowDensity",4,1.01984317241379
87,"LowDensity",4,1.78632192307692
88,"LowDensity",4,1.10222722222222
89,"LowDensity",4,1.68616261764706
90,"LowDensity",4,0.78032256097561
91,"LowDensity",4,0.919404882352941
92,"LowDensity",4,1.38683177777778
93,"LowDensity",4,0.904103275862069
94,"LowDensity",4,1.24983951851852
95,"LowDensity",4,0.7531185625
96,"LowDensity",4,0.7744186
97,"LowDensity",4,0.745577378378378
98,"LowDensity",4,1.42018855263158
99,"LowDensity",4,1.44770464516129
100,"LowDensity",4,0.951406366666667
101,"LowDensity",4,1.7065929
102,"LowDensity",4,0.835923677419355
103,"LowDensity",4,1.14474571428571
104,"LowDensity",4,0.916116297297297
105,"LowDensity",4,1.23335894117647
106,"LowDensity",4,1.14059308695652
107,"LowDensity",4,1.12072653125
108,"LowDensity",4,2.47400484615385
109,"LowDensity",4,1.26029456410256
110,"LowDensity",4,1.56597397619048
111,"LowDensity",4,1.03495051612903
112,"LowDensity",4,0.646295694444444
113,"LowDensity",4,1.130343575
114,"LowDensity",4,1.63306296551724
115,"LowDensity",4,0.80826872972973
116,"LowDensity",4,1.38638578571429
117,"LowDensity",4,1.83204840625
118,"LowDensity",4,1.31115581395349
119,"LowDensity",4,1.74103657142857
120,"LowDensity",4,1.35900239393939
121,"LowDensity",4,0.725197694444444
122,"LowDensity",4,1.33056538709677
123,"LowDensity",4,1.66142534482759
124,"LowDensity",4,1.68987848484848
125,"LowDensity",4,1.32128827777778
126,"LowDensity",4,1.868091625
127,"LowDensity",4,1.3679688
128,"LowDensity",4,1.46908044827586
129,"LowDensity",4,1.04443592592593
130,"LowDensity",4,1.00337626829268
131,"LowDensity",4,1.00805845454545
132,"LowDensity",4,1.69113697058824
133,"LowDensity",4,1.12379751612903
134,"LowDensity",4,1.51209541463415
135,"LowDensity",4,0.90277832
136,"LowDensity",4,1.11269142105263
137,"LowDensity",4,0.79640928
138,"LowDensity",4,1.16197722857143
139,"LowDensity",4,0.890775884615385
140,"LowDensity",4,1.44562510344828
141,"LowDensity",4,0.808326192307692
142,"LowDensity",4,1.65263916
143,"LowDensity",4,0.91687136
144,"LowDensity",4,1.38804796296296
145,"LowDensity",4,1.04907733333333
146,"LowDensity",4,0.867589942857143
147,"LowDensity",4,1.63378145833333
148,"LowDensity",4,0.757594772727273
149,"LowDensity",4,1.21945571875
150,"LowDensity",4,0.876967583333333
151,"LowDensity",4,0.792044806451613
152,"LowDensity",4,0.984546322580645
153,"LowDensity",4,1.33515531578947
154,"LowDensity",4,1.19653681818182
1,"HighDensity",1,1.20073364
2,"HighDensity",1,1.11865235897436
3,"HighDensity",1,1.31720525
4,"HighDensity",1,1.309506
5,"HighDensity",1,0.943122958333333
6,"HighDensity",1,1.29362865625
7,"HighDensity",1,0.996550548387097
8,"HighDensity",1,1.14345340909091
9,"HighDensity",1,1.31327248571429
10,"HighDensity",1,1.29661555555556
11,"HighDensity",1,1.4660477
12,"HighDensity",1,1.4934406969697
13,"HighDensity",1,1.013612375
14,"HighDensity",1,0.947320333333333
15,"HighDensity",1,1.49951412903226
16,"HighDensity",1,0.944193555555556
17,"HighDensity",1,0.973422697674419
18,"HighDensity",1,0.938361538461538
19,"HighDensity",1,1.56298829411765
20,"HighDensity",1,2.01298964285714
21,"HighDensity",1,1.08268055172414
22,"HighDensity",1,1.15757010344828
23,"HighDensity",1,1.32786311111111
24,"HighDensity",1,1.1308648
25,"HighDensity",1,1.57425715384615
26,"HighDensity",1,1.27529986486486
27,"HighDensity",1,2.05500792857143
28,"HighDensity",1,1.49376311111111
29,"HighDensity",1,1.22089457142857
30,"HighDensity",1,0.6223565
31,"HighDensity",1,1.87964395652174
32,"HighDensity",1,1.12270797368421
33,"HighDensity",1,1.51737724324324
34,"HighDensity",1,1.05332821052632
35,"HighDensity",1,1.29511833333333
36,"HighDensity",1,1.46613532
37,"HighDensity",1,1.54603357142857
38,"HighDensity",1,0.704473818181818
39,"HighDensity",1,0.936172035714286
40,"HighDensity",1,2.4829944
41,"HighDensity",1,1.06785786666667
42,"HighDensity",1,1.51556392307692
43,"HighDensity",1,1.43722035135135
44,"HighDensity",1,1.03158789285714
45,"HighDensity",1,0.950818433333333
46,"HighDensity",1,0.768095862068966
47,"HighDensity",1,1.20170042424242
48,"HighDensity",1,0.893292971428571
49,"HighDensity",1,1.24209476923077
50,"HighDensity",1,1.67982025
51,"HighDensity",1,0.921174391304348
52,"HighDensity",1,1.1444855
53,"HighDensity",1,1.91961954545455
54,"HighDensity",1,0.739776692307692
55,"HighDensity",1,0.7551160625
56,"HighDensity",1,1.0506992962963
57,"HighDensity",1,1.56537023684211
58,"HighDensity",1,1.51845007142857
59,"HighDensity",1,1.20602541176471
60,"HighDensity",1,1.25155813888889
61,"HighDensity",1,0.68131546875
62,"HighDensity",1,1.07819413333333
63,"HighDensity",1,0.862196583333333
64,"HighDensity",1,0.998562842105263
65,"HighDensity",1,1.48541815384615
66,"HighDensity",1,1.368314
67,"HighDensity",1,0.746593323529412
68,"HighDensity",1,1.1838481
69,"HighDensity",1,1.38089393333333
70,"HighDensity",1,1.16750026470588
71,"HighDensity",1,1.32342305882353
72,"HighDensity",1,1.2111268
73,"HighDensity",1,1.04931946153846
74,"HighDensity",1,0.792285810810811
75,"HighDensity",1,0.712581548387097
76,"HighDensity",1,1.42140987878788
77,"HighDensity",1,1.11707455555556
78,"HighDensity",1,1.46162633333333
79,"HighDensity",1,1.04934793103448
80,"HighDensity",1,1.01076072727273
81,"HighDensity",1,1.02170693548387
82,"HighDensity",1,0.89969153125
83,"HighDensity",1,1.42049523076923
84,"HighDensity",1,1.55419458333333
85,"HighDensity",1,0.978466125
86,"HighDensity",1,1.29754003448276
87,"HighDensity",1,1.90347417391304
88,"HighDensity",1,1.17072808333333
89,"HighDensity",1,1.41878053333333
90,"HighDensity",1,0.752446405405405
91,"HighDensity",1,0.97846480952381
92,"HighDensity",1,1.11036681818182
93,"HighDensity",1,0.706208608695652
94,"HighDensity",1,1.59716085714286
95,"HighDensity",1,0.885836592592593
