"ParticipantNum","groupSize","NumAgents","FollowPercentage"
137,"SmallGroup",4,52.7777777777778
138,"SmallGroup",4,64.2857142857143
139,"SmallGroup",4,57.1428571428571
140,"SmallGroup",4,46.3414634146341
141,"SmallGroup",4,69.6969696969697
142,"SmallGroup",4,70.2702702702703
143,"SmallGroup",4,45.4545454545455
144,"SmallGroup",4,89.1891891891892
145,"SmallGroup",4,45.4545454545455
146,"SmallGroup",4,97.2222222222222
147,"SmallGroup",4,45.4545454545455
148,"SmallGroup",4,48.4848484848485
149,"SmallGroup",4,42.3076923076923
150,"SmallGroup",4,70.8333333333333
151,"SmallGroup",4,54.5454545454545
152,"SmallGroup",4,41.6666666666667
153,"SmallGroup",4,48.2758620689655
154,"SmallGroup",4,50
1,"LargeGroup",1,56.25
2,"LargeGroup",1,26.9230769230769
3,"LargeGroup",1,68.75
4,"LargeGroup",1,47.2222222222222
5,"LargeGroup",1,43.9024390243902
6,"LargeGroup",1,33.3333333333333
7,"LargeGroup",1,63.3333333333333
8,"LargeGroup",1,61.5384615384615
9,"LargeGroup",1,47.6190476190476
10,"LargeGroup",1,48.1481481481481
11,"LargeGroup",1,63.3333333333333
12,"LargeGroup",1,45.7142857142857
13,"LargeGroup",1,62.5
14,"LargeGroup",1,100
15,"LargeGroup",1,41.9354838709677
16,"LargeGroup",1,48.2758620689655
17,"LargeGroup",1,28.125
18,"LargeGroup",1,60.5263157894737
19,"LargeGroup",1,54.2857142857143
20,"LargeGroup",1,67.8571428571429
21,"LargeGroup",1,43.3333333333333
22,"LargeGroup",1,41.9354838709677
23,"LargeGroup",1,34.4827586206897
24,"LargeGroup",1,96.6666666666667
25,"LargeGroup",1,42.8571428571429
26,"LargeGroup",1,41.1764705882353
27,"LargeGroup",1,50
28,"LargeGroup",1,56.4102564102564
29,"LargeGroup",1,58.8235294117647
30,"LargeGroup",1,43.2432432432432
31,"LargeGroup",1,39.3939393939394
32,"LargeGroup",1,37.5
33,"LargeGroup",1,44.1176470588235
34,"LargeGroup",1,60
35,"LargeGroup",1,60.8695652173913
36,"LargeGroup",1,39.0243902439024
37,"LargeGroup",1,41.9354838709677
38,"LargeGroup",1,50
39,"LargeGroup",1,59.4594594594595
40,"LargeGroup",1,48.1481481481481
41,"LargeGroup",1,51.5151515151515
42,"LargeGroup",1,61.7647058823529
43,"LargeGroup",1,57.8947368421053
44,"LargeGroup",1,45.1612903225806
45,"LargeGroup",1,42.8571428571429
46,"LargeGroup",1,32
47,"LargeGroup",1,40.9090909090909
